subj;trial;block;prior;kappa;ct;delay;fix;keypressed;R;T_Angle;resp_mod;choice_x;choice_y;init_resp_angle;choiceAngle;choiceR;RT;MT;ts_b;ts_f;ts_p;ts_d;ts_r;ts_e;m_pos_x;m_pos_y;m_clock

S01;0;0;0;1;False;3000;True;;8;101.2812077072994;drag;L;-2.2960827;6.5197415;109.4;6.91;2.901852599985432;2.901945599995088;1685442110.6668842;1685442110.6868713;1685442111.4420376;1685442111.976412;1685442114.973815;1685442117.8756504;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0850401, -0.19842692, -0.28346702, -0.36850712, -0.48189393, -0.6236274, -0.79370767, -1.0488279, -1.2189082, -1.3606416, -1.5307219, -1.5590686, -1.6157619, -1.6724553, -1.7008021, -1.7574955, -1.8141888, -1.8425356, -1.9559225, -2.012616, -2.0409625, -2.1543493, -2.2393894, -2.2393894, -2.2677362, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827, -2.2960827];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14173351, 0.42520052, 0.76536095, 1.1905615, 1.5023751, 1.7574955, 2.1260026, 2.381123, 2.8063235, 3.0897903, 3.3449106, 3.6850712, 3.8268046, 3.9401915, 4.1953115, 4.3937387, 4.6772056, 4.932326, 5.1874466, 5.41422, 5.5843005, 5.75438, 6.0661945, 6.3496614, 6.548088, 6.7181687, 6.7465153, 6.8032084, 6.831555, 6.8599014, 6.8599014, 6.8599014, 6.8599014, 6.8599014, 6.8599014, 6.8599014, 6.8599014, 6.8599014, 6.8599014, 6.8599014, 6.8599014, 6.8599014, 6.831555, 6.831555, 6.831555, 6.831555, 6.831555, 6.831555, 6.831555, 6.831555, 6.831555, 6.831555, 6.831555, 6.8032084, 6.8032084, 6.8032084, 6.774862, 6.7465153, 6.7465153, 6.7465153, 6.7465153, 6.7465153, 6.7181687, 6.7181687, 6.7181687, 6.6898212, 6.6898212, 6.6614747, 6.633128, 6.6047816, 6.6047816, 6.5764346, 6.5764346, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415, 6.5197415];[0.03269269998418167, 0.049210600031074136, 0.07002759998431429, 0.0849508999963291, 0.10165249998681247, 0.1181316000293009, 0.13548130000708625, 0.15112520003458485, 0.1677553000045009, 0.18435759999556467, 0.20230990002164617, 0.2188738000113517, 0.2366084000095725, 0.25132740003755316, 0.26879290002398193, 0.2841595000354573, 0.3019647999899462, 0.3174216999905184, 0.33750520000467077, 0.34974470001179725, 0.3661238999920897, 0.3844360000221059, 0.40181090001715347, 0.4191018000128679, 0.43687259999569505, 0.4521543000009842, 0.4694345000316389, 0.4850184000097215, 0.5035785000072792, 0.5181040000170469, 0.5355338000226766, 0.5511701999930665, 0.5690668000024743, 0.5843508000252768, 0.601773900038097, 0.6177894999855198, 0.6362832000013441, 0.6511767000192776, 0.6690991999930702, 0.6837453999905847, 0.7023959000362083, 0.7165698999888264, 0.7356347999884747, 0.7504596000071615, 0.7678114000009373, 0.78218730003573, 0.8008800999959931, 0.817481999984011, 0.834978700033389, 0.8526699999929406, 0.8683125000097789, 0.8837511999881826, 0.9018812000285834, 0.9174570000031963, 0.9331619000295177, 0.952627599996049, 0.9678124000201933, 0.9846334999892861, 1.00339820003137, 1.0163542000227608, 1.0338226000312716, 1.0507399000343867, 1.069283400021959, 1.0870957000297494, 1.1018700000131503, 1.1179173000273295, 1.1353544000303373, 1.1522647999809124, 1.169007699994836, 1.184024500020314, 1.2021983999875374, 1.2195061999955215, 1.233871000004001, 1.2513205999857746, 1.268110600009095, 1.2851505000144243, 1.301579800026957, 1.317496600036975, 1.334978900034912, 1.3506145999999717, 1.366717900033109, 1.383661400002893, 1.4027759000309743, 1.4186311000376008, 1.4346221000305377, 1.4512569000362419, 1.4688727000029758, 1.4849431000184268, 1.5018274000030942, 1.516189799993299, 1.5328934999997728, 1.5495089000323787, 1.566365799983032, 1.5834811000386253, 1.6012341000023298, 1.6178920000093058, 1.6350384000106715, 1.655089300009422, 1.6682417999836616, 1.6844755000201985, 1.7014815000002272, 1.7185137000051327, 1.734857400006149, 1.7514646000345238, 1.7672772000078112, 1.7839231999823824, 1.8019308000220917, 1.8160056000342593, 1.8365822000196204, 1.8505603999947198, 1.868226999999024, 1.882738700020127, 1.900823500007391, 1.9175596000277437, 1.935169100004714, 1.9502470000297762, 1.9700998000334948, 1.9853481000172906, 2.0024794000200927, 2.018331600003876, 2.033869000035338, 2.050644300004933, 2.067321299982723, 2.083836000005249, 2.1041081000003032, 2.1170562999905087, 2.135727000015322, 2.15091999998549, 2.168747699994128, 2.1847669000271708, 2.2015757000190206, 2.216771000006702, 2.23461700003827, 2.250678299984429, 2.267970699991565, 2.285115799983032, 2.3015983999939635, 2.3181816000142135, 2.3353607000317425, 2.3527584000257775, 2.366591600002721, 2.3833437000284903, 2.40117150003789, 2.418374600005336, 2.4349656000267714, 2.451180200034287, 2.4687411999912, 2.4838143000379205, 2.5017001000232995, 2.5174483000300825, 2.5337988000246696, 2.552117699990049, 2.569526400009636, 2.5847585999872535, 2.602614200033713, 2.6176657000323758, 2.6362653999822214, 2.651371999992989, 2.6696630000369623, 2.68499520001933, 2.701711700006854, 2.7182704000151716, 2.735957299999427, 2.7513890999834985, 2.7683510000351816, 2.78514069999801, 2.8039501000312157, 2.8172378999879584, 2.835635600029491, 2.850783700007014, 2.86971870000707, 2.883808600017801]

S01;1;0;0;1;False;1000;False;;8;72.31803140335856;drag;L;nan;nan;nan;nan;0.0026401999639347196;0.0027661999920383096;1685442118.6022527;1685442118.6194696;1685442119.372879;1685442119.8752844;1685442120.8413494;1685442120.8443584;[];[];[]

S01;1;0;0;1;False;1000;False;;8;97.65523243116654;drag;L;nan;nan;nan;nan;0.0022075999877415597;0.0022892000270076096;1685442121.6347282;1685442121.651753;1685442122.4083233;1685442122.8915274;1685442122.8925242;1685442122.894529;[];[];[]

S01;1;0;0;1;False;1000;False;;8;108.73830109202274;drag;L;nan;nan;nan;nan;0.0021135000279173255;0.002229599980637431;1685442123.440609;1685442123.4525588;1685442124.2079952;1685442124.693653;1685442124.6941862;1685442124.696382;[];[];[]

S01;1;0;0;1;False;1000;True;;8;40.62520789910039;drag;L;5.1874466;4.7905927;42.72;7.06;2.9988877999712713;2.9990071000065655;1685442125.258323;1685442125.268995;1685442126.0246463;1685442126.5263982;1685442127.5061874;1685442130.5050957;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1133868, 0.28346702, 0.53858733, 0.7086675, 1.0488279, 1.1905615, 1.3606416, 1.5590686, 1.7008021, 1.8708823, 2.182696, 2.3527763, 2.5512033, 2.7779768, 2.9764037, 3.146484, 3.4016042, 3.5716846, 3.770111, 3.911845, 4.025232, 4.2236586, 4.3937387, 4.5921655, 4.7905927, 4.875633, 4.932326, 4.960673, 5.017366, 5.045713, 5.1024065, 5.130753, 5.130753, 5.1591, 5.1591, 5.1591, 5.1591, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466, 5.1874466];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1700802, 0.28346702, 0.4535472, 0.53858733, 0.73701423, 0.85040104, 0.93544114, 1.1055214, 1.2189082, 1.3606416, 1.6441087, 1.8425356, 2.012616, 2.2677362, 2.4378164, 2.6078966, 2.8913634, 3.0330973, 3.2315238, 3.3732576, 3.514991, 3.7417645, 3.968538, 4.166965, 4.3937387, 4.478779, 4.563819, 4.5921655, 4.648859, 4.7055526, 4.733899, 4.762246, 4.762246, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927, 4.7905927];[0.0037918000016361475, 0.01873070001602173, 0.03478490002453327, 0.05159440002171323, 0.067930500023067, 0.08460480003850535, 0.10333030001493171, 0.11878250003792346, 0.13488650001818314, 0.15225260000443086, 0.16848870000103489, 0.18556740001076832, 0.20078390004346147, 0.21912040002644062, 0.23506690002977848, 0.252780300041195, 0.2674135999986902, 0.2854574000230059, 0.3005115000414662, 0.3187216999940574, 0.33519280003383756, 0.35236580000491813, 0.36892790003912523, 0.3859920999966562, 0.4016605000360869, 0.41896390001056716, 0.4341975999996066, 0.45277830003760755, 0.4677388000418432, 0.48628050001570955, 0.5021385000436567, 0.5203333999961615, 0.5342696000006981, 0.5530716000357643, 0.5685146000469103, 0.5868010999984108, 0.602400400035549, 0.6195046000066213, 0.6356437000213191, 0.6517991000437178, 0.6675660000182688, 0.684045200003311, 0.7007995000458322, 0.7195250000222586, 0.7339887000271119, 0.7516999000217766, 0.7676065000123344, 0.7850734000094235, 0.8014225999941118, 0.8189105000346899, 0.8350458000204526, 0.8544960000435822, 0.8673550999956205, 0.8863321000244468, 0.9034257000312209, 0.9196371000143699, 0.935652400017716, 0.9549125000485219, 0.9668529000482522, 0.9857146000140347, 1.00179410004057, 1.0189068000181578, 1.034760600014124, 1.0511354000191204, 1.0681472000433132, 1.0853693000390194, 1.1009921000222676, 1.1187894000322558, 1.1353751000133343, 1.1512827000115067, 1.168368200014811, 1.1838793000206351, 1.2009508000337519, 1.218454300018493, 1.2340601000469178, 1.2528429999947548, 1.268841000040993, 1.2868245000136085, 1.3008267999975942, 1.319102500041481, 1.334851699997671, 1.3513729000114836, 1.3673360000248067, 1.385175800009165, 1.4008789000217803, 1.418236400000751, 1.4343279000022449, 1.4514763000188395, 1.467413000005763, 1.4848501000087708, 1.5001595000503585, 1.5183545000036247, 1.5336657000007108, 1.551608000008855, 1.5677142000058666, 1.5846458000014536, 1.601527700026054, 1.6190692000091076, 1.6329080000286922, 1.6525762000237592, 1.6678937000106089, 1.6854120999923907, 1.70123310002964, 1.7187403000425547, 1.7341223999974318, 1.751770100032445, 1.7690508000086993, 1.7858553000260144, 1.8021785000455566, 1.818469499994535, 1.8358298999955878, 1.8530671000480652, 1.8675889000296593, 1.8867310000350699, 1.9014228000305593, 1.9189838000456803, 1.9349606000469066, 1.952030700049363, 1.9683054000488482, 1.9860740000149235, 2.001081600028556, 2.0198362999944948, 2.034705500002019, 2.0523855999927036, 2.0698986000497825, 2.0856831000419334, 2.1019009000156075, 2.1189363000448793, 2.13564720004797, 2.1523725000442937, 2.1688024000031874, 2.186775400012266, 2.2012110000359826, 2.2186772000277415, 2.2352053000358865, 2.2526652000378817, 2.2677158000296913, 2.286216400039848, 2.301985300029628, 2.3197275000275113, 2.335240700049326, 2.353209200024139, 2.368413500022143, 2.3853894000058062, 2.402025400020648, 2.419134900032077, 2.4341074000112712, 2.452496800047811, 2.4673514000023715, 2.486239799996838, 2.5013321000151336, 2.518955800042022, 2.5356299999984913, 2.553147300030105, 2.56913820002228, 2.586313700012397, 2.601013300009072, 2.618715200049337, 2.6348884000326507, 2.6522332000313327, 2.668278700031806, 2.684081999992486, 2.7005480999941938, 2.7177547000464983, 2.7346594000118785, 2.7514271000400186, 2.7671220000484027, 2.785486900014803, 2.8012465000501834, 2.8185299000469968, 2.8347161000128835, 2.852175600011833, 2.8682589000090957, 2.886571300041396, 2.9015196000109427, 2.9190395000041462, 2.9340257000294514, 2.9526690000202507, 2.9678570000105537, 2.9858924000291154]
